ell,Planck_TT_obs_Dell_uK2,Planck_TT_err_sym_uK2,CAMB_LCDM_powerlaw_TT_model_Dell_uK2,OPH_IR_reference_q0p15_ell6_TT_model_Dell_uK2,OPH_IR_bestfit_lowell_q0p2446_ell33p615_TT_model_Dell_uK2,OPH_IR_joint_IRpart_q0p1670_ell67p979_TT_model_Dell_uK2,Planck_TE_obs_Dell_uK2,Planck_TE_err_sym_uK2,CAMB_LCDM_powerlaw_TE_model_Dell_uK2,OPH_IR_reference_q0p15_ell6_TE_model_Dell_uK2,OPH_IR_bestfit_lowell_q0p2446_ell33p615_TE_model_Dell_uK2,OPH_IR_joint_IRpart_q0p1670_ell67p979_TE_model_Dell_uK2,Planck_EE_obs_Dell_uK2,Planck_EE_err_sym_uK2,CAMB_LCDM_powerlaw_EE_model_Dell_uK2,OPH_IR_reference_q0p15_ell6_EE_model_Dell_uK2,OPH_IR_bestfit_lowell_q0p2446_ell33p615_EE_model_Dell_uK2,OPH_IR_joint_IRpart_q0p1670_ell67p979_EE_model_Dell_uK2
44,1399.71962,277.240421,1304.7065550863333,1304.7065241293992,1293.6037239382206,1244.378805739652,-0.859736599,3.58431252,1.4273484748694023,1.4273483464440295,1.3581254537565872,1.2387415732168574,-0.0134368745,0.0962666723,0.078921261510423,0.0789209202840724,0.0768451793401396,0.0719032691910771
45,1050.22476,278.11521,1323.74409257762,1323.7440628906304,1313.725833406273,1264.8916423889432,-1.57838748,3.60698676,1.3149201687574792,1.3149200602800597,1.2522560722580702,1.1365859796892166,0.188035437,0.0973550243,0.0849672633464913,0.0849669060869517,0.0829191479704917,0.0775900849053472
46,1148.97828,279.028999,1343.1077746172236,1343.1077462731553,1334.0809007308735,1285.7058081640444,-1.57568116,3.63159327,1.1900832413345346,1.190083151684998,1.1336699252684117,1.0225933676120973,0.0780844309,0.0985247051,0.0913142632087975,0.0913138895326053,0.089300683769635,0.0835777485480757
47,1939.3329,279.951311,1362.7623134780815,1362.7622857091744,1354.6397286588608,1306.783398596324,1.72808755,3.65792883,1.0524249057937312,1.0524248312513862,1.0019286403694552,0.8963101972075652,-0.0529424832,0.09977367,0.0979608080666833,0.0979604176411969,0.095987908656616,0.0898659386395755
48,984.32799,280.912792,1382.6501363667703,1382.6501075662188,1375.3508349214646,1328.064224167462,-0.490458271,3.68607909,0.901547267620964,0.901547201862437,0.8566087373403027,0.7572978208181396,0.255639808,0.101099279,0.1048972732688318,0.1048968658122945,0.1029707729313576,0.0964461620734536
49,1720.0661,281.925451,1402.7246294451006,1402.7245973378174,1396.1735064399431,1349.4996042918158,6.96788472,3.71612296,0.7371386558528105,0.7371385906898695,0.6973789583816864,0.6052016542621137,0.209834781,0.102498811,0.1121138814872342,0.1121134567585113,0.1102390410320831,0.1033097545650299
50,1707.30702,282.956791,1422.9904430599915,1422.9904053804974,1417.1175351045504,1371.0943224266227,1.10855685,3.74784547,0.5590739616536842,0.5590738899907594,0.5241186035966598,0.4398450357060572,0.0457620923,0.103969074,0.1196143598392525,0.1196139175965905,0.1177958490977038,0.1104614822875904
51,1039.42852,283.993098,1443.4631865417605,1443.4631412050144,1438.2034820261456,1392.864670991804,9.88792487,3.78103683,0.3674844100618131,0.3674843266338137,0.3369693058297908,0.2613054771142174,0.246532786,0.105507289,0.1274037684642437,0.1274033084550064,0.1256456331041442,0.1179074259340244
52,1603.6105,285.044233,1464.0916141091354,1464.0915592123583,1459.3850532595611,1414.7600873160384,-3.90499513,3.81578728,0.1632767836721856,0.1632766850424255,0.1368482553804544,0.0704360478328874,0.21616001,0.107111477,0.1354856814574325,0.1354852034181582,0.1337913429847792,0.1256521801454447
53,1118.55429,286.14826,1484.817051682233,1484.8169855067492,1480.608526617365,1436.7225804505497,-6.21530063,3.85218582,-0.0526581420398141,-0.0526582574816818,-0.0753433646744753,-0.1319261900852727,0.0600329858,0.10877964,0.1438599583840031,0.1438594620404616,0.142232214144526,0.1336966250249111
54,1173.86271,287.267431,1505.6328236942518,1505.6327447073463,1501.8721784821682,1458.7461579815604,4.85101579,3.89003935,-0.2802887162406001,-0.2802888482806317,-0.2995634960034803,-0.3458032994022081,0.152654221,0.110508342,0.1525272013123304,0.1525266863795779,0.15096822449307,0.1420423831703036
55,1609.06096,288.393097,1526.5471113486212,1526.5470182054012,1523.189142064207,1480.8396842881527,-1.18801984,3.92915511,-0.5199528843233098,-0.5199530309252967,-0.5361396766056955,-0.5715869392776315,0.237126155,0.112294419,0.1614894976757363,0.1614889638581674,0.160000837306608,0.1506925625357311
56,1523.29448,289.556623,1547.679521179334,1547.6794127245928,1544.6839759619338,1503.1234491032628,-9.06159524,3.96979598,-0.7726226371430104,-0.7726227944504758,-0.7860334900461928,-0.8103028145019211,-0.0209798163,0.114142094,0.1707429919495368,0.1707424389409347,0.1693255729048782,0.1596443281082477
57,1715.71938,290.769662,1569.124645862028,1569.1245211407954,1566.4558123288582,1525.692680162453,-6.99891695,4.01202517,-1.0392541882401487,-1.0392543510607877,-1.0501892782493312,-1.0629587830085747,0.128538652,0.116045606,0.1802867516024603,0.1802861790863413,0.1789409207638066,0.1688977022349792
58,1742.61858,292.02198,1590.8473089946235,1590.8471672887686,1588.472363721129,1548.5126434963486,-3.77610963,4.05561261,-1.3201684773068796,-1.3201686410443942,-1.3289102516749245,-1.3299191502127186,0.317494317,0.118001101,0.19012262282984,0.1901220304806891,0.1888483337324256,0.178455223484088
59,1467.14325,293.295447,1612.7724636237672,1612.77230446252,1610.6610595566488,1571.5086864463403,2.5278237,4.10033386,-1.6154117148809446,-1.6154118760193934,-1.622223427300939,-1.6112714228254426,0.294122094,0.120006125,0.2002531463830762,0.2002525338666863,0.1990500053785462,0.1883200593458724
60,1790.4516,294.592236,1634.8919180403457,1634.8917412021085,1633.016184554435,1594.6730116234603,-2.92718145,4.14627518,-1.924614086273616,-1.924614242379228,-1.9297397969801904,-1.906687082485384,0.164333511,0.122059579,0.2106734345232825,0.2106728014967904,0.2095407007811113,0.1984879488101139
61,1359.15415,295.952922,1657.2197656785115,1657.2195711926393,1655.5543086330076,1618.020106807801,-6.86629128,4.19363593,-2.2473463128744897,-2.2473464625974198,-2.251010888743707,-2.2157781470584723,0.395170343,0.124164573,0.2213785994105725,0.2213779455224924,0.2203151849194357,0.2089546307551091
62,2165.2271,297.353776,1679.7478150134327,1679.7476031619815,1678.2697168073105,1641.5421748465951,-6.60747906,4.24241659,-2.583297933159365,-2.583298076235372,-2.5857070478068724,-2.538275451640224,0.426722247,0.126319594,0.2323637531475931,0.2323630780378455,0.2313682227166866,0.2197158439909624
63,1742.10583,298.829576,1702.4753029602823,1702.475074279719,1701.164122586705,1665.2388470534831,0.583482457,4.29250249,-2.932203019899358,-2.932203157151418,-2.933543153776502,-2.873954365758744,0.287806278,0.128518671,0.2436247506592881,0.2436240539592237,0.2426953219195881,0.2307680701391269
64,1242.4852,300.347925,1725.3866098202493,1725.3863651031088,1724.2243829198042,1689.0948981547406,-6.21629817,4.34385157,-3.293788182531,-3.293788315870827,-3.294226623018597,-3.222582795738176,0.178478668,0.130760196,0.2551567040694498,0.2551559854018699,0.2542912474749086,0.2421070480087513
