ell,TT_Cl_uK2,EE_Cl_uK2,BB_Cl_uK2,TE_Cl_uK2,TT_Dl_uK2,EE_Dl_uK2,BB_Dl_uK2,TE_Dl_uK2
86,1.921322431690939,0.0004811542972225612,-6.76055791220396e-06,-0.01206196186681041,2287.905533756165,0.5729572304203104,-0.008050454001620976,-14.363351433285368
87,1.9008342488846643,0.0004835062504770146,-6.7941241531909015e-06,-0.012286793153056192,2316.147988319238,0.5891476492698994,-0.00827857399930459,-14.971337590872928
88,1.880926924112194,0.00048569465851119794,-6.796541812562097e-06,-0.012503433348468762,2344.5782591854486,0.6054191273195529,-0.00847189966133286,-15.58554860276197
89,1.8615849974336356,0.00048771773846675994,-6.76850056588114e-06,-0.01271191475748281,2373.206439161484,0.6217577381737864,-0.008628694982265995,-16.20554419922777
90,1.8427877843901885,0.000489570492026292,-6.710777209748759e-06,-0.012912393598583864,2402.035148781944,0.6381448475049296,-0.008747357058694408,-16.831033687891075
91,1.8245208600212501,0.0004912513311857002,-6.624231537996741e-06,-0.01310485768052741,2431.074032249821,0.6545654701584518,-0.008826425407625434,-17.461504497728104
92,1.8067637319732794,0.0004927577655068467,-6.509801865783566e-06,-0.013289525912127285,2460.3238222338073,0.6710028807934502,-0.008864590496797874,-18.096742041689257
93,1.7895073094927796,0.0004940877145298252,-6.368500228383587e-06,-0.013466396695716022,2489.7997010704344,0.6874403012567837,-0.0088607014236733,-18.73623554909817
94,1.772726868260918,0.0004952409159369294,-6.201407282943087e-06,-0.013635688789476897,2519.4945174513746,0.7038629553489906,-0.008813772685233798,-19.379772350640355
95,1.7564144050587949,0.0004962151658174515,-6.00966694257902e-06,-0.013797408919360904,2549.42335630821,0.7202528798703485,-0.008722989986256367,-20.026843582153624
96,1.7405468939067361,0.0004970095353203341,-5.794480773648416e-06,-0.013951623755132,2579.5789688932487,0.7365933943750658,-0.008587715040420312,-20.67701556714184
97,1.7251074759046088,0.0004976227818142059,-5.557102188302548e-06,-0.014098404652786093,2609.9614867654414,0.7528668872013958,-0.008407489325779033,-21.32985549164769
98,1.7100848844006065,0.0004980533930199763,-5.298830465310418e-06,-0.014237827012666106,2640.578422778081,0.7690548317201968,-0.008182036763375105,-21.98493135624121
99,1.695449348128883,0.0004983010421806477,-5.021004632466803e-06,-0.014369922551383342,2671.40753071477,0.7851400327078419,-0.007911265294789529,-22.641737638413556
100,1.681196037193885,0.0004983669478484743,-4.72499724469345e-06,-0.014494729651985921,2702.4636622217186,0.8011073885594254,-0.0075952673426443375,-23.299769516231695
101,1.6673064325734703,0.0004982505642995964,-4.412208092156253e-06,-0.014612292609052186,2733.739342168498,0.8169387122084654,-0.007234319145967937,-23.958522803146252
