snapshot_index,cycle,cluster_index,cluster_id,worldline_id,x,y,z,cluster_class,support_node_count,interpolated
60,120,52,defect_cluster_000737,worldline_000377,-0.8037837599706061,-0.00496949541266534,-0.5949008079695796,transposition,3,True
60,120,53,defect_cluster_000755,worldline_000384,0.40076435822639267,0.641185048008547,0.6544231531552538,threecycle,4,True
60,120,54,defect_cluster_000768,worldline_000389,0.528179923272073,-0.730922818248358,-0.43217797539461067,transposition,6,True
60,120,55,defect_cluster_000799,worldline_000406,0.9030967664179028,0.2367095027656945,-0.3583083054939493,threecycle,3,True
60,120,56,defect_cluster_000816,worldline_000412,0.12445170698475139,0.9691759909984755,-0.21262565955383722,transposition,3,True
60,120,57,defect_cluster_000832,worldline_000421,0.5348996991162256,-0.11019303896587804,0.8376991142700556,threecycle,5,True
60,120,58,defect_cluster_000860,worldline_000440,-0.09709397526703259,-0.9914358968278421,0.0873362607856393,threecycle,6,True
60,120,59,defect_cluster_000864,worldline_000443,-0.06983948709963095,0.9203524636922316,0.3848035714716017,threecycle,5,True
60,120,60,defect_cluster_000163,worldline_000515,-0.08625467237589805,0.9660156081246629,0.2436677581315673,threecycle,3,True
60,120,61,defect_cluster_000202,worldline_000523,-0.3021893951620406,0.5620254322277305,0.7699408957711187,threecycle,3,True
60,120,62,defect_cluster_000497,worldline_000531,0.8569628151090471,0.39769579197699323,-0.32779992459451435,transposition,3,True
60,120,63,defect_cluster_000330,worldline_000532,-0.03977098416266484,0.2357766624713613,0.9709931175104172,threecycle,5,True
61,122,0,defect_cluster_000000,worldline_000000,0.6657508518093525,-0.23452008995385049,0.7083615819079684,transposition,5,True
61,122,1,defect_cluster_000006,worldline_000003,-0.22516144311077446,-0.18545554255979188,-0.9565085291152018,threecycle,6,True
61,122,2,defect_cluster_000016,worldline_000010,-0.6453204965474558,0.32938182319021525,0.6892525453617381,transposition,5,True
61,122,3,defect_cluster_000020,worldline_000012,0.12181336054029186,-0.2337185168228006,-0.9646435404272561,threecycle,3,True
61,122,4,defect_cluster_000021,worldline_000013,0.11371918573026099,-0.23510999608953487,-0.9652933422207083,threecycle,5,True
61,122,5,defect_cluster_000041,worldline_000021,0.22387099203866542,0.8219413689409836,-0.5237310043782453,transposition,5,True
61,122,6,defect_cluster_000065,worldline_000031,0.729304410738975,-0.2584091754969784,0.6335138313372869,transposition,3,True
