worldline_id,event_index,cycle,event,class,holonomy_mode,support_node_count,x,y,z,vx,vy,vz,pair_h3_separation,support_overlap_fraction,support_overlap_node_count,contact_outcome,charge_conservation_pass,transport_distance
free_pair_left,89,89,continue,transposition,1,8,0.9047659285629163,-1.4731807176953897,0.24947934562118196,0.03481264228958359,0.0012294352255549233,0.07261978640430458,0.4309163659973711,0.0,0,scatter,True,0.08712790609589305
free_pair_left,90,90,continue,transposition,1,8,0.9454958579068664,-1.4668381145530924,0.2928200001789222,0.052484298161564254,0.008173033437639565,0.05584846016099641,0.46580465189963144,0.0,0,scatter,True,0.09137906971074575
free_pair_left,91,91,continue,transposition,1,8,1.001307420499035,-1.4573741429737352,0.3226279846525993,0.0640148645702744,0.01085500621755543,0.034189225324843864,0.5083176239484916,0.0,0,scatter,True,0.09740158012740655
free_pair_left,92,92,continue,transposition,1,8,1.0690320272079887,-1.4510896986253918,0.3336913738497743,0.06901668178912311,0.0064043413005708425,0.011274460625693174,0.552810223674445,0.0,0,scatter,True,0.1034588276064278
free_pair_left,93,93,continue,transposition,1,8,1.1367269695757671,-1.451857750008217,0.3231405132012131,0.06769494236777836,-0.0007680513828252807,-0.010550860648561216,0.5878356247598012,0.0,0,scatter,True,0.10222108241408456
free_pair_left,94,94,continue,transposition,1,8,1.1950768876839215,-1.4628883339982708,0.2950973325908709,0.058349918108154444,-0.011030583990053789,-0.02804318061034221,0.6059811390093279,0.0,0,scatter,True,0.09783916206927204
free_pair_left,95,95,continue,transposition,1,8,1.2409322836681451,-1.4855750346172953,0.2532335669173602,0.04585539598422355,-0.0226867006190245,-0.04186376567351072,0.6043413062332805,0.0,0,scatter,True,0.1001039334874861
free_pair_right,0,0,birth,transposition,1,8,-0.21599110999070864,-0.1969778549559081,0.48907867511037106,0.01914651503406519,-0.006615247919440264,-0.01632366248777085,1.2009077215015367,0.0,0,,True,
free_pair_right,1,1,continue,transposition,1,8,-0.1897845140533323,-0.19287010576765226,0.4652295923197866,0.02620659593737634,0.00410774918825585,-0.02384908279058447,1.1412577607962193,0.0,0,,True,0.036079064171263664
free_pair_right,2,2,continue,transposition,1,8,-0.16054507621469158,-0.17890951073260072,0.4314421543488741,0.02923943783864073,0.01396059503505153,-0.033787437970912514,1.0564456278246985,0.0,0,,True,0.04703590289064347
free_pair_right,3,3,continue,transposition,1,8,-0.12333434712979117,-0.16238179158130256,0.3852297136602544,0.037210729084900404,0.016527719151298175,-0.046212440688619766,0.9448217172682621,0.0,0,,True,0.061845832682392646
free_pair_right,4,4,continue,transposition,1,8,-0.08370577688422601,-0.14548108893603914,0.3228033160051553,0.03962857024556517,0.016900702645263405,-0.062426397655099025,0.803203584568704,0.0,0,,True,0.07604941782356799
free_pair_right,5,5,continue,transposition,1,8,-0.039242204397253753,-0.12776744660131822,0.24241556933544955,0.044463572486972254,0.017713642334720926,-0.08038774666970577,0.6270728846800604,0.0,0,,True,0.09377126479139673
free_pair_right,6,6,continue,transposition,1,8,0.006710453516685817,-0.10272935666820136,0.14154469455442362,0.04595265791393957,0.025038089933116858,-0.10087087478102594,0.41212467772495437,0.0,0,,True,0.1138172247718348
free_pair_right,7,7,continue,transposition,1,8,0.039840027600663304,-0.08438493273672228,0.05928750781951672,0.05077537679054491,0.02811521315563233,-0.12606982630105906,0.24616632998992544,0.0,0,,True,0.0906923325387914
free_pair_right,8,8,continue,transposition,1,8,0.055210990934189484,-0.07605700757410379,0.008111100745106695,0.04624879990356547,0.025057410918268942,-0.15398172249916067,0.15349233516632443,0.302307567425798,2,,True,0.05416009776290389
free_pair_right,9,9,continue,transposition,1,8,0.06243365664193843,-0.072659999417016,-0.024649350787033418,0.04015116595761799,0.01888414109049541,-0.18211701600729543,0.1051490003136087,0.522049998574506,4,,True,0.0337686936897888
free_pair_right,10,10,contact_scatter,transposition,1,8,0.06528877489701043,-0.07219234492676208,-0.04756342632016458,0.11273492148361726,0.06175312648472118,-0.15283266975449408,0.08219535718585881,0.6263847400642781,5,scatter,True,0.023130059661786308
free_pair_right,11,11,continue,transposition,1,8,0.07379309544587204,-0.06795083889260799,-0.06290694795407806,0.0899317195574435,0.04485319302972548,-0.16225508865483493,0.09440436102172484,0.570889268083069,5,scatter,True,0.018074680825117418
free_pair_right,12,12,continue,transposition,1,8,0.08141205597574346,-0.06473890310580992,-0.08190694768265452,0.06559194663945786,0.027651688168094407,-0.16357178429529584,0.11635238163854801,0.47112553800659995,4,scatter,True,0.02075052830358231
free_pair_right,13,13,continue,transposition,1,8,0.08869772485073915,-0.06329887735835603,-0.10633457627611706,0.04543192214478282,0.0089797023124862,-0.15232563261949172,0.15052537887326314,0.31579373239425845,3,scatter,True,0.02556545097145242
free_pair_right,14,14,continue,transposition,1,8,0.09473021302169952,-0.06482364591121897,-0.13876769260413077,0.025507576298177428,-0.0064472816352031965,-0.13713913162846192,0.1998800204545681,0.09145445247923589,1,scatter,True,0.033068272805761516
free_pair_right,15,15,continue,transposition,1,8,0.0993641421946727,-0.07157601792397632,-0.1818417828023777,0.012274641068832321,-0.01788610479919072,-0.11409734089888103,0.27043887566427705,0.0,0,scatter,True,0.043904390245489
free_pair_right,16,16,continue,transposition,1,8,0.10096138089015279,-0.08987931257721435,-0.23823039984328528,0.002561521284893848,-0.02935333270514129,-0.09043146975136197,0.3674987217910776,0.0,0,scatter,True,0.05939581493538618
free_pair_right,17,17,continue,transposition,1,8,0.09683192612019945,-0.12697786975015554,-0.30420863752154736,-0.004129454769953342,-0.037098557172941186,-0.06597823767826211,0.49267767321534867,0.0,0,scatter,True,0.07599192972965095
free_pair_right,18,18,continue,transposition,1,8,0.09028269396018268,-0.16866755410416454,-0.34652796654572127,-0.006549232160016763,-0.041689684354008986,-0.04231932902417389,0.5823313178953687,0.0,0,scatter,True,0.06008829735692834
free_pair_right,19,19,continue,transposition,1,8,0.08202011795707521,-0.21025665590381226,-0.3664272178486409,-0.008262576003107463,-0.04158910179964774,-0.01989925130291966,0.634234305139747,0.0,0,scatter,True,0.04745536086036992
free_pair_right,20,20,continue,transposition,1,8,0.07457965757372119,-0.24942187332743015,-0.3650030986866132,-0.00744046038335403,-0.03916521742361791,0.0014241191620277308,0.6488154459106726,0.0,0,scatter,True,0.040924720403850756
free_pair_right,21,21,continue,transposition,1,8,0.06885486389980869,-0.2876928308514213,-0.34247559169142217,-0.005724793673912496,-0.03827095752399114,0.02252750699519103,0.6264219260444255,0.0,0,scatter,True,0.04628857711496741
free_pair_right,22,22,continue,transposition,1,8,0.06649562020366248,-0.3234396323533655,-0.2987415758684884,-0.002359243696146206,-0.03574680150194423,0.0437340158229338,0.5675725569496541,0.0,0,scatter,True,0.058412523952356896
free_pair_right,23,23,continue,transposition,1,8,0.07120191212821178,-0.3562136309539349,-0.2335793603141637,0.004706291924549297,-0.03277399860056938,0.06516221555432467,0.47344538896332194,0.0,0,scatter,True,0.07536186505877347
free_pair_right,24,24,continue,transposition,1,8,0.08827779314694428,-0.3814586660922897,-0.14857197592620686,0.017075881018732503,-0.025245035138354802,0.08500738438795687,0.34877191700973653,0.0,0,scatter,True,0.09296362840292692
free_pair_right,25,25,continue,transposition,1,8,0.11105894325821251,-0.39022469588976805,-0.07758355967343411,0.03292070978687605,-0.012667662586672929,0.10258433126831216,0.24701691412766905,0.0,0,scatter,True,0.07721948784872129
