worldline_id,event_index,cycle,event,class,holonomy_mode,support_node_count,x,y,z,pair_h3_separation,local_readout_contraction,transport_distance
stress_pair_left,29,29,continue,transposition,1,8,-0.0002541070673604995,0.0,0.0,0.000508214134532499,0.9600000103312616,0.0002541070671326664
stress_pair_left,30,30,continue,transposition,1,8,-0.00012705353368024975,0.0,0.0,0.0002541070680064894,0.9600000025828159,0.00012705353425961652
stress_pair_left,31,31,continue,transposition,1,8,-6.352676684012488e-05,0.0,0.0,0.0001270535325119705,0.960000000645704,6.35267662880317e-05
stress_pair_left,32,32,continue,transposition,1,8,-3.176338342006244e-05,0.0,0.0,6.35267662880317e-05,0.960000000161426,3.1763383148021666e-05
stress_pair_left,33,33,continue,transposition,1,8,-1.588169171003122e-05,0.0,0.0,3.1763383148021666e-05,0.9600000000403565,1.5881688079219063e-05
stress_pair_left,34,34,continue,transposition,1,8,-7.94084585501561e-06,0.0,0.0,1.5881702060384423e-05,0.9600000000100891,7.940851030254802e-06
stress_pair_left,35,35,continue,transposition,1,8,-3.970422927507805e-06,0.0,0.0,7.940851030254802e-06,0.9600000000025223,3.970425515135224e-06
stress_pair_left,36,36,continue,transposition,1,8,-1.9852114637539023e-06,0.0,0.0,3.9703695901045494e-06,0.9600000000006306,1.9851568321440402e-06
stress_pair_left,37,37,continue,transposition,1,8,-9.926057318769512e-07,0.0,0.0,1.9852686814177097e-06,0.9600000000001576,9.926902621952166e-07
stress_pair_left,38,38,continue,transposition,1,8,-4.963028659384756e-07,0.0,0.0,9.926902621952166e-07,0.9600000000000394,4.964569583224508e-07
stress_pair_left,39,39,continue,transposition,1,8,-2.481514329692378e-07,0.0,0.0,4.964569583224508e-07,0.9600000000000098,2.48452007778481e-07
stress_pair_left,40,40,continue,transposition,1,8,-1.240757164846189e-07,0.0,0.0,2.48452007778481e-07,0.9600000000000025,1.246720591983311e-07
stress_pair_left,41,41,continue,transposition,1,8,-6.203785824230945e-08,0.0,0.0,1.246720591983311e-07,0.9600000000000006,6.322027276634104e-08
stress_pair_left,42,42,continue,transposition,1,8,-3.1018929121154724e-08,0.0,0.0,5.960464477539062e-08,0.9600000000000002,2.980232238769531e-08
stress_pair_left,43,43,continue,transposition,1,8,-1.5509464560577362e-08,0.0,0.0,3.650024149988857e-08,0.9600000000000001,2.1073424255447017e-08
stress_pair_left,44,44,continue,transposition,1,8,-7.754732280288681e-09,0.0,0.0,0.0,0.96,0.0
stress_pair_left,45,45,continue,transposition,1,8,-3.8773661401443405e-09,0.0,0.0,0.0,0.96,0.0
